id	GSM2690788_con	GSM2690789_con	GSM2690790_con	GSM2690785_treat	GSM2690786_treat	GSM2690787_treat
CUEDC1	8.82329066489002	8.99431439083378	9.96584900944966	1.88689164293019	9.10439919510657	8.54383744062921
CUEDC2	9.28952642146745	9.10841604313388	8.57020371868264	8.78684775184401	8.76391015966008	9.0763739849291
CUL1	10.5172648689596	10.8246212184846	10.9428991526	10.8821826291634	10.8869856635971	11.0697533159708
CUL2	10.3963933170702	10.6239543189781	10.4357364218517	10.5293618218755	10.6691827501833	11.0221906581058
CUL3	3.64146969954344	4.2312126214814	3.11806221430557	3.66636998622227	3.82165012889624	3.01342996950917
CUL4A	11.6260105859864	11.7088516042666	11.2735213254232	11.5370355156836	10.88227175123	11.6489476591146
CUL4B	8.92509382946288	9.72062181333107	9.16338255092345	10.0688143977519	10.2850282340064	10.412933427169
CUL5	9.46350910916856	10.2944400942589	9.7412757430727	9.50087315257159	9.7644744188345	9.40334184736216
CUL7	7.25488647686778	7.13325948624682	6.82628618076026	7.57041885526514	7.83002951871925	8.06049250721552
CUL9	11.1450762027701	9.42945886931325	11.3416198620028	10.2043204341078	10.2735776890148	11.0711738288466
CUTA	12.4814538640273	11.9287243468826	11.7246551077206	12.0926875231204	11.4553614846333	12.0256124712897
CUTC	5.75273065173165	8.35756479144774	7.14124883051044	8.52336959513555	8.07942199272424	8.57681349636438
CUX1	8.7004367162973	8.19943669486395	8.85644915580313	9.00008500934577	9.46095646571615	9.28223976608299
CUX2	0.858005546062754	0	-1.92310923228652	0.401647476003103	0.54412384478506	-1.92310923228652
CWC15	8.74366890005083	10.1021626419882	8.62726699926563	9.47102343440968	9.91200054588051	8.68521354958807
CWC22	4.69586152046091	7.59858139065649	6.21211421966036	7.63690512253725	7.67632903579089	7.01810584075431
CWC25	9.40408807459327	9.47863174886722	9.44841997702854	9.90033787015039	9.43899923288451	9.50176746643129
CWC27	8.25219495678188	9.38606406197177	8.2188458737078	9.10772934834111	9.45239739730479	9.05010168026331
CWF19L1	9.3222117388042	9.346151505604	9.40757375188629	10.0642697011166	9.49557864745224	10.4446300583791
CWF19L2	9.64248420766693	9.22041126980269	11.0438743148964	9.09886155231058	9.24050222289765	9.83617774936038
CWH43	9.05816642458851	10.49799911495	8.91684271608348	6.82628618076026	6.29552484462158	6.38849522821615
CX3CL1	4.47161650140831	4.59909077678784	3.71312695984888	5.46458591934683	5.46083698709844	4.35989257351807
CX3CR1	1.88689164293019	4.91091349568893	2.38382718459003	6.89523298513578	7.4538930517983	6.73531535779764
CXADR	5.5956200558305	7.54236608940385	6.57030836093447	6.62716120766793	6.36108799263191	6.61075185763262
CXCL1	8.53406576706371	8.31056114166617	9.30239360044609	11.6398609714658	10.5176961849607	9.66624134764733
CXCL10	5.72964205703079	6.50791835465108	5.62828193121006	8.46424131608951	7.42320568701661	6.52266677178302
