geneNames	GSM2674259	GSM2674260	GSM2674261	GSM2674262	GSM2674263	GSM2674264	GSM2674265	GSM2674266
hsa_circ_0000518	9.656086742	13.35181035	13.99095693	10.59105327	13.92445864	14.83889606	12.81300421	15.85282051
hsa_circ_0000168	10.0018457	9.154022858	9.151488193	6.754030816	9.24703359	8.860112021	8.788713073	9.067514057
hsa_circ_0000170	6.309447024	5.417798099	5.926998935	6.040254374	5.463471653	5.342017318	4.873364751	5.370631183
hsa_circ_0000173	8.456861118	7.578832224	7.754041592	8.695657686	6.813760514	6.292291952	6.685602241	5.741423505
hsa_circ_0000174	8.344150022	7.220967258	7.579539491	7.498836346	7.680567957	8.344011281	8.436444578	8.347891005
hsa_circ_0000175	9.32719813	10.93695875	9.635148343	10.72461906	9.452881378	6.854848286	8.440992207	9.823215379
hsa_circ_0000549	9.572164232	7.701295285	8.703032807	9.190129339	9.275393303	10.54284895	9.699569656	10.16678873
hsa_circ_0000180	5.843880551	6.332007673	6.581176287	5.805702285	6.393362785	6.915860114	7.295180145	7.040272048
hsa_circ_0000181	13.07985947	9.133940773	9.361734672	11.42364035	9.539761529	10.48290084	10.88655273	10.18340077
hsa_circ_0000185	6.262064536	5.867238889	5.882603621	6.813760514	6.070757202	5.837587255	5.893262393	5.103220135
hsa_circ_0000186	7.879190437	7.937548243	9.058241094	7.790337989	9.283952756	9.570030501	9.271751042	10.44792099
hsa_circ_0000188	5.169860383	6.3264005	5.912850726	5.426210655	5.463471653	6.254998112	5.607282596	5.781317418
hsa_circ_0000190	8.085463895	8.841755817	8.973782412	9.01305641	8.951280016	9.714940313	9.053497319	8.203034162
hsa_circ_0000611	7.179893047	5.387961733	5.656378742	7.267941991	5.980102726	6.072767976	5.571703734	7.364667741
hsa_circ_0000193	5.658165418	4.854787993	5.143317395	5.103220135	5.06062623	5.169860383	5.90835389	5.515648991
hsa_circ_0000194	6.502806153	7.227299575	7.138895213	6.475707293	7.124104636	7.478756578	5.862597379	4.927701534
hsa_circ_0000648	5.55837135	5.262034226	5.271402801	4.965709844	6.393362785	5.743949456	5.144592482	5.204508059
hsa_circ_0000197	5.463471653	4.707270087	4.965709844	5.226350055	4.797577884	5.049778322	4.939503409	5.134360092
hsa_circ_0000670	10.09967443	7.3247286	6.051173861	11.95551311	7.491339146	6.689101861	5.588666298	4.927701534
hsa_circ_0000202	6.993627806	6.391215875	7.106218878	6.724491856	7.302624189	7.935523911	8.095058794	8.501830768
hsa_circ_0000203	8.123466457	7.541084125	7.368492384	8.50307394	7.409377252	6.445505528	6.951265917	5.481747375
hsa_circ_0000207	4.882564192	5.537168306	6.563648368	5.199609045	7.1085076	8.116660475	7.035812345	8.925549656
hsa_circ_0000210	9.656086742	8.728552814	7.412026856	9.532596298	7.965053447	6.802899365	7.344004122	7.583540803
hsa_circ_0000705	9.957099701	11.40577218	12.19644795	9.492913964	11.26854106	11.56245036	10.78427567	9.76305404
hsa_circ_0000221	9.259739469	7.620666223	8.129596705	8.405666473	8.375032425	9.209297116	9.356310858	9.424425379
hsa_circ_0000222	9.197059113	7.340670303	7.433050304	9.423178193	7.398729907	7.047787973	7.364120535	8.107862482
hsa_circ_0000224	9.156553077	8.209597811	9.197366331	10.47326018	9.007548415	7.574581324	8.30605434	6.943228493
hsa_circ_0000226	9.676395044	9.554225998	8.607324349	9.938060997	9.521535934	9.29755745	8.730040025	8.689337211
hsa_circ_0000765	5.136925001	5.311689746	6.221555949	5.29226227	7.33425887	9.553626198	6.758618154	9.294186238
hsa_circ_0000232	5.63294832	5.311689746	5.560283536	5.596141668	5.353089914	6.107183331	5.607282596	6.144625363
hsa_circ_0000234	8.780534478	8.845190935	8.343872526	8.34428875	8.85603138	8.707353567	8.330769633	8.818377302
hsa_circ_0000240	8.498344175	7.133125641	6.965765675	8.109495793	6.771468177	6.272016423	6.391215875	6.205761734
hsa_circ_0000241	9.736399204	7.230605444	7.772303934	8.233911482	6.658188451	6.588221975	5.808922681	6.409363569
hsa_circ_0000242	9.298273714	6.047088732	6.025103842	6.684726008	5.980102726	6.02925161	6.057956807	7.057974265
hsa_circ_0000245	5.832849203	5.262034226	4.672334115	5.46958932	4.965709844	4.876437754	4.894739569	4.810488738
hsa_circ_0000848	5.693442006	5.782955961	7.450682474	5.58303424	9.248071984	10.88316707	7.862627363	10.63792526
hsa_circ_0000251	8.970281039	9.133940773	9.016977857	8.705842773	8.981830218	7.82116577	8.454035564	8.41256302
hsa_circ_0000252	5.15475281	6.433558529	5.897806441	5.457327934	5.113674981	4.876437754	4.724425861	5.134360092
hsa_circ_0000256	9.459428314	7.862239904	7.330062098	8.94726694	6.788697293	5.049778322	5.824917704	5.985805231
hsa_circ_0000259	10.8286311	11.01502184	9.471036808	11.00785836	9.111946502	8.572220401	8.711016066	8.809762945
hsa_circ_0000260	8.191359755	9.331893027	8.919789626	7.237194542	7.735545109	7.930358211	6.461964563	7.676827238
hsa_circ_0000261	8.14241797	8.491095032	6.98083519	8.102623426	7.207303685	5.939541312	6.818561568	8.625132152
hsa_circ_0000265	4.826466503	4.682904023	4.672334115	4.83912252	4.738005092	4.823285075	5.121466694	5.134360092
hsa_circ_0000268	9.210363019	9.483686589	10.57875444	8.932025395	9.74813772	9.40971898	9.373677327	8.895759716
hsa_circ_0000270	6.169892692	5.63113012	5.941009743	5.571703734	5.882603621	6.733840864	6.611000999	6.459405184
hsa_circ_0000272	6.581176287	6.319078441	6.798450903	6.389603594	6.879563494	7.250875263	6.852899461	8.172106868
hsa_circ_0000919	11.36959647	7.136654231	9.619643893	6.968288217	10.5041346	11.266749	9.754258503	11.94728248
hsa_circ_0000275	5.387961733	5.353089914	5.271402801	5.46958932	5.488792544	5.647412017	5.554539357	6.431470653
hsa_circ_0000276	8.564143344	8.155758782	9.039600098	8.609403669	8.847639594	10.01270957	10.76481843	9.524048759
hsa_circ_0000278	5.55837135	5.933652598	6.965765675	5.609131081	8.291882718	8.268826827	7.96937724	7.383150326
hsa_circ_0000929	5.902336222	5.55837135	5.46958932	5.087394421	5.136925001	5.169860383	5.262034226	5.741423505
