id	GSM2674263_con	GSM2674264_con	GSM2674265_con	GSM2674266_con	GSM2674259_treat	GSM2674260_treat	GSM2674261_treat	GSM2674262_treat
hsa_circ_0000158	5.848009	6.3258034375	6.401195	6.14739175	6.944719	5.874561375	5.660581875	6.438572875
hsa_circ_0000161	8.58106025	8.841374875	8.9444605	7.637494125	8.8059184375	7.4875271875	7.872508625	8.779991
hsa_circ_0000488	4.839836375	4.6333855	4.680945	5.055471625	6.895805875	6.291563	5.261830375	8.163594875
hsa_circ_0000163	6.004907625	6.6613361875	6.644968375	6.5387745	5.900488375	6.230366625	6.729120125	6.496453625
hsa_circ_0000164	7.08223525	6.1690366875	6.4646855	7.0162415	7.959283125	8.167358375	7.349131125	7.866401625
hsa_circ_0000165	7.286029375	7.710290625	7.55517125	6.377159375	5.8587829375	7.098090375	7.6405011875	6.49127425
hsa_circ_0000512	15.25874325	15.859953625	13.156528125	16.755384375	11.287989125	13.634940625	14.391189875	11.992919375
hsa_circ_0000518	13.8736955	14.846874625	12.866537625	15.8291275	9.7279435	13.393517875	13.974797	10.592252
hsa_circ_0000168	9.2135504375	8.878081125	8.829906	9.1128833125	10.0693236875	9.08382125	9.104926875	6.778521625
hsa_circ_0000170	5.448929625	5.3460485	4.86908875	5.45552775	6.377159375	5.3861676875	5.874561375	6.061666
hsa_circ_0000173	6.787994625	6.291563	6.699579625	5.8048270625	8.519325125	7.5121926875	7.70305225	8.687088375
hsa_circ_0000174	7.64704075	8.360099	8.464851	8.395331	8.407649875	7.1638826875	7.535627125	7.5069035
hsa_circ_0000175	9.414212125	6.8755263125	8.4693448125	9.852245875	9.385335	10.8563849375	9.58013875	10.718183625
hsa_circ_0000549	9.2409435625	10.583251875	9.7195748125	10.197768625	9.6469291875	7.6426603125	8.64658425	9.193442
hsa_circ_0000180	6.362065	6.940707375	7.322086125	7.07561575	5.900488375	6.296062625	6.5176165	5.809394375
hsa_circ_0000181	9.50399275	10.5217075	10.93257725	10.217339875	13.284366	9.06530875	9.314209375	11.39028375
hsa_circ_0000185	6.0319645	5.849222	5.890751125	5.220671125	6.32623675	5.8180465	5.838677875	6.834353625
hsa_circ_0000186	9.2488376875	9.596769125	9.3038675	10.472022375	7.93906875	7.884019375	9.008004	7.804643875
hsa_circ_0000188	5.448929625	6.256469375	5.60738475	5.841199	5.16653975	6.291563	5.860262625	5.4380625
hsa_circ_0000190	8.9021875	9.7415490625	9.091583625	8.2470945	8.144702	8.7867814375	8.9261515625	9.0149864375
hsa_circ_0000611	5.941749625	6.081723125	5.572772875	7.406297	7.236239375	5.34862525	5.6009169375	7.2793196875
hsa_circ_0000193	5.02927475	5.172530375	5.903580875	5.59102225	5.677890375	4.8279586875	5.10093875	5.112313
hsa_circ_0000194	7.09289975	7.49168825	5.860262625	5.055471625	6.552329625	7.1692455	7.0675	6.488321125
hsa_circ_0000648	6.362065	5.755932375	5.145464	5.319812875	5.57712625	5.205739375	5.222791125	4.982042
hsa_circ_0000197	4.751146125	5.05236575	4.941408	5.2498263125	5.469816375	4.692884875	4.9231405	5.223950875
hsa_circ_0000670	7.4571710625	6.70732925	5.59067025	5.055471625	10.16472975	7.260037	6.000693625	11.92244225
hsa_circ_0000202	7.275330375	7.944926	8.11718275	8.5484598125	7.05035275	6.352393875	7.0320051875	6.7466354375
hsa_circ_0000203	7.374185125	6.444663	6.97300975	5.55911525	8.1785988125	7.474142625	7.309691375	8.500474375
hsa_circ_0000207	7.074931875	8.1336525	7.060372875	8.9677123125	4.87133375	5.5019775	6.501305375	5.205739375
hsa_circ_0000210	7.923965625	6.82326075	7.3743215	7.622454	9.7279435	8.6788418125	7.35762125	9.5410586875
hsa_circ_0000705	11.223751625	11.6165325	10.842071875	9.7930845	10.022770875	11.340004125	12.14203025	9.4924085
hsa_circ_0000221	8.3356896875	9.227682	9.3942291875	9.470047875	9.3121556875	7.55653525	8.061000375	8.403689875
hsa_circ_0000222	7.365287625	7.08079925	7.393151	8.158077125	9.2424620625	7.275330375	7.3773505625	9.419908625
hsa_circ_0000224	8.959033125	7.585034125	8.333741125	6.9780103125	9.204061625	8.15326875	9.1501175625	10.464454125
hsa_circ_0000226	9.48470675	9.317207	8.7709109375	8.732526875	9.74245675	9.47976225	8.55403	9.933316375
hsa_circ_0000765	7.304889125	9.5805341875	6.77872025	9.33374425	5.122697125	5.261830375	6.163805625	5.300387125
hsa_circ_0000232	5.3265740625	6.118568	5.60738475	6.207251375	5.655946	5.261830375	5.517748625	5.603015
hsa_circ_0000234	8.809572625	8.723450375	8.3586321875	8.862687	8.8369353125	8.790709875	8.282358875	8.3420291875
hsa_circ_0000240	6.742911	6.272563	6.390572125	6.263234	8.562431125	7.074931875	6.899195625	8.11718275
hsa_circ_0000241	6.6214375	6.5994665	5.80812675	6.4641519375	9.802414875	7.172090875	7.720686625	8.232701625
hsa_circ_0000242	5.941749625	6.04215775	6.0583490625	7.09289975	9.3513449375	6.005260875	5.968751625	6.7090235
hsa_circ_0000245	4.9231405	4.86908875	4.8943265	4.9309645	5.889372125	5.205739375	4.6459564375	5.4802889375
hsa_circ_0000848	9.2148579375	10.94130475	7.8832103125	10.668131625	5.720976	5.744235375	7.40170325	5.5847543125
hsa_circ_0000251	8.9287225625	7.830381625	8.4833545	8.4624998125	9.0260245625	9.06530875	8.970402625	8.69876325
hsa_circ_0000252	5.07113475	4.86908875	4.705945625	5.2498263125	5.145464	6.39867525	5.8486155	5.4647610625
hsa_circ_0000256	6.75995525	5.05236575	5.82919725	6.0427625	9.5206873125	7.804459625	7.2706136875	8.951352375
hsa_circ_0000259	9.0729971875	8.59200025	8.750736875	8.8540426875	10.893600625	10.927699125	9.416159875	11.006250625
hsa_circ_0000260	7.698834625	7.939644125	6.4646855	7.720686625	8.249864125	9.270377375	8.87636325	7.248014625
hsa_circ_0000261	7.17871275	5.955791	6.835991875	8.66925325	8.2002940625	8.43308875	6.913688375	8.112214
hsa_circ_0000265	4.6830819375	4.804653875	5.122697125	5.2498263125	4.81420675	4.661523375	4.6459564375	4.86908875
hsa_circ_0000268	9.7173335625	9.43923375	9.41280475	8.942251125	9.2591465	9.40826125	10.529463625	8.93537425
hsa_circ_0000270	5.848009	6.750271875	6.627466	6.5130465	6.237267375	5.59102225	5.880779625	5.576320625
hsa_circ_0000272	6.8580295	7.2767614375	6.87628325	8.218526	6.632937	6.280288	6.7387199375	6.397832625
